Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1,
"C14, C23, C4",0603,3,10uF,
C15,0603,1,1uF,
"C17, C19",0603,2,4.7uf,
C18,0603,1,104,
C22,0603,1,47uF,
"D5, D6",0805,2,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"Q2, Q3",SOT-23,2,SS8050,
R1,0603,1,1k,
"R12, R15",0603,2,0R,
"R13, R14, R3, R4",0603,4,10K,
"R16, R17",0603,2,5.1K,
R2,0603,1,2.2k,
"SW1, SW2, SW5",SW_SPST_CK_RS282G05A3,3,SW_Push,
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U2,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,
U4,SOT-23-5,1,ME6217C33M5G,
